Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
D645,Illovo Raw Bulk,"",2015-09-23 22:31:00,2015-09-23 22:31:00,"8,057.29",317,2015-09-24 01:43:00,0
D645,Illovo Raw Bulk,"",2015-09-24 15:20:00,2015-09-24 15:20:00,"7,842.73",416,2015-09-24 15:50:00,0
D646,Illovo Raw Bulk,"",2015-09-24 02:50:00,2015-09-24 02:50:00,"7,968.51",285,2015-09-24 03:30:00,0
D646,Illovo Raw Bulk,"",2015-09-24 14:50:00,2015-09-24 14:50:00,"3,557.84",290,2015-09-24 15:10:00,78
D646,Illovo Raw Bulk,"",2015-09-24 21:10:00,2015-09-24 21:10:00,"7,561.57",288,2015-09-24 22:25:00,0
D647,Illovo Raw Bulk,"",2015-09-24 04:30:00,2015-09-24 04:30:00,"7,987.00",420,2015-09-24 05:30:00,0
D647,Illovo Raw Bulk,"",2015-09-24 17:20:00,2015-09-24 17:20:00,"7,879.72",414,2015-09-24 17:40:00,0
D648,Illovo Raw Bulk,"",2015-09-23 21:30:00,2015-09-23 21:30:00,"3,833.85",143,2015-09-24 00:20:00,225
D648,Illovo Raw Bulk,"",2015-09-24 07:50:00,2015-09-24 07:50:00,"3,588.57",112,2015-09-24 08:45:00,225
D648,Illovo Raw Bulk,"",2015-09-24 13:45:00,2015-09-24 13:45:00,"7,750.24",289,2015-09-24 14:20:00,0
D649,Illovo Raw Bulk,"",2015-09-24 08:00:00,2015-09-24 08:00:00,"7,654.06",550,2015-09-24 08:15:00,0
D649,Illovo Raw Bulk,"",2015-09-24 20:30:00,2015-09-24 20:30:00,"3,728.99",142,2015-09-24 21:20:00,225
D650,Illovo Raw Bulk,"",2015-09-24 04:25:00,2015-09-24 04:25:00,"8,097.99",403,2015-09-24 05:00:00,0
D650,Illovo Raw Bulk,"",2015-09-24 21:00:00,2015-09-24 21:00:00,"7,750.24",288,2015-09-24 21:50:00,0
D651,Illovo Raw Bulk,"",2015-09-24 08:55:00,2015-09-24 08:55:00,"3,789.42",281,2015-09-24 09:25:00,225
D651,Illovo Raw Bulk,"",2015-09-24 15:40:00,2015-09-24 15:40:00,"3,648.11",125,2015-09-24 16:17:00,225
D652,Illovo Raw Bulk,"",2015-09-24 00:55:00,2015-09-24 00:55:00,"6,063.32",448,2015-09-24 02:14:00,0
D652,Illovo Raw Bulk,"",2015-09-24 13:40:00,2015-09-24 13:40:00,"4,904.78",357,2015-09-24 14:10:00,143
D653,Illovo Raw Bulk,"",2015-09-24 09:15:00,2015-09-24 09:15:00,"6,026.32",399,2015-09-24 11:10:00,0
D653,Illovo Raw Bulk,"",2015-09-24 22:20:00,2015-09-24 22:20:00,"2,882.94",219,2015-09-24 23:40:00,225
444021,Illovo Refined GBD F and V,"",2015-09-24 07:00:00,2015-09-24 07:15:00,"2,188.16",67,2015-09-24 07:30:00,35
444021,Illovo Refined GBD F and V,"",2015-09-24 13:45:00,2015-09-24 13:45:00,"3,099.56",152,2015-09-24 13:50:00,61.7
444035,Illovo Refined GBD F and V,"",2015-09-24 01:30:00,2015-09-24 01:30:00,"2,188.16",68,2015-09-24 01:35:00,35
444035,Illovo Refined GBD F and V,"",2015-09-24 08:00:00,2015-09-24 07:50:00,"3,099.56",153,2015-09-24 08:00:00,61.7
444035,Illovo Refined GBD F and V,"",2015-09-24 16:40:00,2015-09-24 16:40:00,"3,099.56",151,2015-09-24 16:45:00,61.7
D618,Illovo Refined GBD F and V,"",2015-09-24 05:00:00,2015-09-24 05:20:00,"2,696.67",156,2015-09-24 05:40:00,61.7
D618,Illovo Refined GBD F and V,"",2015-09-24 14:30:00,2015-09-24 14:30:00,"1,775.97",68,2015-09-24 14:35:00,35
D618,Illovo Refined GBD F and V,"",2015-09-24 22:41:00,2015-09-24 22:41:00,"7,633.63",151,2015-09-24 22:49:00,61.7
XDock Warehouse,Warehousing,"",(none),(none),"17,459.05",0,2015-09-24 00:00:00,0
XDock Warehouse,Warehousing,"",(none),(none),"17,459.05",0,2015-09-25 00:00:00,0
DS37,Premier Foods-Newcastle,"",(none),(none),"2,047.72",0,2015-09-25 00:00:00,0
C1,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-24 00:00:00,0
C1,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-25 00:00:00,0
C3,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-24 00:00:00,0
C3,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-25 00:00:00,0
IMV1,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-25 00:00:00,0
IMV2,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-25 00:00:00,0
IMV3,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-24 00:00:00,0
IMV3,Toyota Tsusho Africa F & V,"",(none),(none),"1,207.01",0,2015-09-25 00:00:00,0
